Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Coordinating openness to diverse and contesting contributions in online communities,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103440330&doi=10.5465%2fAMBPP.2019.159&partnerID=40&md5=bb285bca5a7070c0dfb0a356da3699b5,[No abstract available],,
Meaning in work and meaning at work: Empirically based clarity of the constructs,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103443681&doi=10.5465%2fAMBPP.2019.271&partnerID=40&md5=0625ac4d5c92ed189e460dc4aca97424,[No abstract available],,
The effects of customer aggression on employee work and life: The within-person and trajectory perspectives,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103441384&doi=10.5465%2fAMBPP.2019.139&partnerID=40&md5=b8c6afebe46d58f4b26fc31216fae0f5,[No abstract available],,
CEO's temporal strategies to pacify warring coalitions,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103452875&doi=10.5465%2fAMBPP.2019.273&partnerID=40&md5=4a8b187e3e5f522024d70d75f29027ed,[No abstract available],,
The soft side of political conservatism? The bounded effects of political conservatism on corporate social responsibility,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103435817&doi=10.5465%2fAMBPP.2019.194&partnerID=40&md5=4c717b416100dcd3019d68675ab8964d,"We demonstrate that a politically conservative attitude toward CSR is contingent on environmental clues provided by two types of social capital: interfirm and community-based. Whereas the former enhances the negative relationship between political conservatism and CSR, the latter mitigates it and may even lead to a positive relationship. © The Author(s), 2020.",,Community-based; Corporate social responsibilities (CSR); Social capitals
Transboundary crises and change: The european refugee response,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103456558&doi=10.5465%2fAMBPP.2019.35&partnerID=40&md5=1680b641fce1ef3412f0d4a053c49571,[No abstract available],,
What's the problem? How crowdsourcing contributes to identifying scientific research questions,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101316391&doi=10.5465%2fAMBPP.2019.115&partnerID=40&md5=9aeddd74bdc2f9260c1b5fe3d6d4ea74,"Crowd involvement in scientific research is mostly limited to tasks that help answer research questions. We examine how the crowd can contribute by identifying the questions that should be studied. Using online and field experiments, we investigate strengths and weaknesses of the crowd compared to scientists and test facilitation mechanisms. © 2019 AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management. All rights reserved.",,Field experiment; Research questions; Scientific researches; Crowdsourcing
Cheap-talk? Entrepreneurially-oriented shareholder letters and firm value in regulated contexts,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103456950&doi=10.5465%2fAMBPP.2019.9&partnerID=40&md5=3af06da46c4b309f4b80cc59d00f1202,[No abstract available],,
Corporate philanthropy as a strategic tool for advocacy,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103454097&doi=10.5465%2fAMBPP.2019.284&partnerID=40&md5=88c6292b1aa0f3ff09d694f07296084e,[No abstract available],,
The impact of local social norms on access to finance: The case of environmental entrepreneurship,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101017782&doi=10.5465%2fAMBPP.2019.38&partnerID=40&md5=08bf0879b1773a337de8bcc838345e0d,"This paper analyses community-level dynamics that may influence VC investment decisions in green entrepreneurship. We suggest an inverted U-shape relation between NPO density and VC staging. Additionally, we test two moderators, reflecting different ways of interpreting local social norms on environmental issues: NPOs' bureaucratization and professionalization and citizen sensitivity. © AOM 2019: Understanding the Inclusive Organization. All rights reserved.",,Environmental issues; Inverted u shapes; Investment decisions; Paper analysis; Social norm; Investments
