Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
154;21100465205;"European Research on Management and Business Economics";journal;"24448834";1,419;Q1;36;30;77;2689;696;77;9,62;89,63;39,56;0;13;Spain;Western Europe;"European Academy of Management and Business Economics";"2016-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
155;15139;"Regional Science and Urban Economics";journal;"18792308, 01660462";1,412;Q1;96;72;219;3341;781;214;3,71;46,40;18,40;13;48;Netherlands;Western Europe;"Elsevier B.V.";"1973-2023";"Economics and Econometrics (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
156;144981;"Quantitative Marketing and Economics";journal;"15707156, 1573711X";1,408;Q1;39;14;38;650;61;38;1,76;46,43;21,88;0;1;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
157;22915;"Journal of Economic Psychology";journal;"01674870";1,404;Q1;118;62;183;3800;540;178;2,51;61,29;27,71;4;9;Netherlands;Western Europe;"Elsevier B.V.";"1981-2023";"Applied Psychology (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
158;28464;"Econometric Theory";journal;"02664666, 14694360";1,393;Q1;81;62;136;2357;167;132;1,05;38,02;25,00;0;5;United Kingdom;Western Europe;"Cambridge University Press";"1985-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
159;22839;"International Marketing Review";journal;"02651335";1,386;Q1;106;70;169;6948;1070;160;5,91;99,26;38,21;0;18;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
160;20662;"Entrepreneurship and Regional Development";journal;"14645114, 08985626";1,373;Q1;112;57;132;5275;824;123;5,07;92,54;51,16;8;26;United Kingdom;Western Europe;"Routledge";"1989-2023";"Business and International Management (Q1); Development (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
161;17533;"Journal of International Money and Finance";journal;"02615606";1,351;Q1;113;150;418;7817;1386;412;3,23;52,11;21,74;15;81;United Kingdom;Western Europe;"Elsevier B.V.";"1982-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
162;29487;"Structural Change and Economic Dynamics";journal;"0954349X";1,344;Q1;69;126;429;8181;2811;427;5,61;64,93;31,90;6;104;Netherlands;Western Europe;"Elsevier B.V.";"1990-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
163;28467;"Economic Modelling";journal;"02649993";1,335;Q1;111;396;1027;22530;5574;1023;4,89;56,89;36,30;13;255;Netherlands;Western Europe;"Elsevier B.V.";"1984-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
164;22750;"Journal of Economic Geography";journal;"14682702, 14682710";1,330;Q1;120;34;120;2049;446;119;3,55;60,26;21,69;14;20;United Kingdom;Western Europe;"Oxford University Press";"2001-2023";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
165;20928;"Environmental and Resource Economics";journal;"09246460, 15731502";1,328;Q1;112;97;307;5976;1489;299;3,57;61,61;30,53;7;81;Netherlands;Western Europe;"Springer Netherlands";"1991-2023";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
166;23865;"Journal of Economic Behavior and Organization";journal;"01672681";1,326;Q1;136;385;1292;21378;3445;1287;2,57;55,53;27,49;32;164;Netherlands;Western Europe;"Elsevier B.V.";"1980-2023";"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
167;35510;"European Review of Agricultural Economics";journal;"14643618, 01651587";1,321;Q1;73;59;137;3679;561;136;4,00;62,36;35,54;11;40;United Kingdom;Western Europe;"Oxford University Press";"1981-1982, 1986-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
168;18291;"Socio-Economic Planning Sciences";journal;"00380121";1,315;Q1;68;268;546;17429;3713;538;6,97;65,03;36,69;2;176;United Kingdom;Western Europe;"Elsevier Ltd";"1967-2023";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Statistics, Probability and Uncertainty (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
169;22223;"Forest Policy and Economics";journal;"13899341";1,308;Q1;85;136;538;10464;2502;470;4,29;76,94;38,81;9;114;Netherlands;Western Europe;"Elsevier B.V.";"2000-2023";"Economics and Econometrics (Q1); Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
170;21101021052;"Journal of the Association for Consumer Research";journal;"23781823, 23781815";1,306;Q1;30;42;142;1710;369;134;2,12;40,71;50,00;2;19;United States;Northern America;"University of Chicago Press";"2016-2023";"Applied Psychology (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology"
171;16220;"Journal of Law and Economics";journal;"15375285, 00222186";1,295;Q1;91;27;102;1307;204;100;1,88;48,41;25,37;1;11;United States;Northern America;"University of Chicago";"1978-1989, 1996-2022";"Economics and Econometrics (Q1); Law (Q1)";"Economics, Econometrics and Finance; Social Sciences"
172;12056;"Research in International Business and Finance";journal;"02755319";1,294;Q1;73;252;613;17683;4878;613;7,60;70,17;30,81;2;104;Netherlands;Western Europe;"Elsevier B.V.";"2004-2024";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
173;100147313;"Journal of Business Finance and Accounting";journal;"0306686X, 14685957";1,283;Q1;91;102;163;7495;653;163;3,64;73,48;29,89;0;27;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974-2023";"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
174;12277;"Management Accounting Research";journal;"10445005, 10961224";1,276;Q1;102;18;50;1442;286;49;5,00;80,11;30,43;0;3;United States;Northern America;"Academic Press";"1990-2023";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
175;28466;"Economic History Review";journal;"00130117, 14680289";1,266;Q1;60;81;134;6092;314;128;1,91;75,21;24,09;4;37;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1927-2023";"Economics and Econometrics (Q1); History (Q1)";"Arts and Humanities; Economics, Econometrics and Finance"
176;7100153129;"European Accounting Review";journal;"09638180, 14684497";1,264;Q1;87;90;149;7548;713;148;4,17;83,87;34,21;1;25;United Kingdom;Western Europe;"Routledge";"1992-2023";"Accounting (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); History (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance"
177;28945;"Industrial and Corporate Change";journal;"14643650, 09606491";1,252;Q1;127;59;209;4787;752;208;3,51;81,14;24,31;6;26;United Kingdom;Western Europe;"Oxford University Press";"1992-2023";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
178;21101126907;"Carbon Neutrality";journal;"27313948, 27888614";1,250;Q1;8;35;39;3010;254;36;6,51;86,00;33,72;0;31;China;Asiatic Region;"Springer Singapore";"2022-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy; Environmental Science"
179;24900;"Real Estate Economics";journal;"15406229, 10808620";1,233;Q1;72;53;150;2482;427;150;2,47;46,83;21,09;4;28;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
180;23715;"Science Technology and Human Values";journal;"01622439, 15528251";1,232;Q1;92;83;171;5069;729;156;3,51;61,07;58,23;4;36;United States;Northern America;"SAGE Publications Inc.";"1976-2023";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
181;28488;"Economic Theory";journal;"14320479, 09382259";1,217;Q1;67;116;248;4449;293;242;1,29;38,35;18,72;4;18;Germany;Western Europe;"Springer New York";"1991-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
182;17531;"Journal of International Financial Markets, Institutions and Money";journal;"10424431";1,216;Q1;80;137;356;9313;1991;356;5,72;67,98;28,04;2;62;Netherlands;Western Europe;"Elsevier B.V.";"1997-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
183;22751;"Journal of Economic Inequality";journal;"15691721, 15738701";1,210;Q1;47;58;106;2752;320;104;3,30;47,45;33,58;7;50;Netherlands;Western Europe;"Springer Netherlands";"2004-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
184;18617;"Journal of Risk and Insurance";journal;"15396975, 00224367";1,203;Q1;72;40;108;1970;247;106;2,26;49,25;30,28;0;15;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-1979, 1996-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
185;19691;"International Journal of Electronic Commerce";journal;"10864415, 15579301";1,196;Q1;97;24;71;1553;338;65;3,67;64,71;44,07;0;3;United States;Northern America;"M.E. Sharpe Inc.";"1996-2023";"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
186;13176;"Tijdschrift Voor Economische en Sociale Geografie";journal;"0040747X, 14679663";1,191;Q1;69;49;129;2254;649;124;2,56;46,00;33,33;0;26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1967-2023";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
187;58834;"Schmalenbach Journal of Business Research";journal;"23666153, 03412687";1,188;Q1;33;23;108;1698;621;99;1,85;73,83;38,33;0;8;Germany;Western Europe;"Springer Gabler";"1976, 2016-2023";"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
188;21100228129;"Economics of Transportation";journal;"22120122";1,185;Q1;27;13;53;577;181;53;3,09;44,38;18,52;0;8;United Kingdom;Western Europe;"Elsevier Ltd";"2012-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Transportation (Q1)";"Economics, Econometrics and Finance; Social Sciences"
189;14453;"Emerging Markets Review";journal;"18736173, 15660141";1,179;Q1;69;92;190;5856;1200;189;6,54;63,65;30,08;1;49;Netherlands;Western Europe;"Elsevier B.V.";"2000-2023";"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
190;24849;"Scandinavian Journal of Economics";journal;"14679442, 03470520";1,175;Q1;74;41;141;1922;199;138;1,42;46,88;11,58;6;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-1980, 1983, 1985, 1991-1993, 1995-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
191;16242;"Journal of Law, Economics, and Organization";journal;"14657341, 87566222";1,173;Q1;79;26;59;1242;88;59;1,37;47,77;27,69;1;9;United Kingdom;Western Europe;"Oxford University Press";"1985-2023";"Economics and Econometrics (Q1); Law (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
192;25654;"Post-Soviet Affairs";journal;"1060586X";1,170;Q1;53;33;89;2095;328;86;3,48;63,48;43,33;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2023";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
193;21780;"Nonlinear Analysis: Real World Applications";journal;"14681218";1,163;Q1;102;183;477;5728;1117;477;2,18;31,30;30,95;0;18;Netherlands;Western Europe;"Elsevier B.V.";"2000-2024";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Engineering; Mathematics; Medicine"
194;21100890672;"Financial Innovation";journal;"21994730";1,162;Q1;46;116;237;8105;1949;219;8,06;69,87;28,17;3;59;Germany;Western Europe;"SpringerOpen";"2015-2023";"Finance (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
195;22743;"International Environmental Agreements: Politics, Law and Economics";journal;"15679764, 15731553";1,162;Q1;49;31;117;1337;373;112;3,25;43,13;44,83;1;28;Netherlands;Western Europe;"Springer Netherlands";"2002-2023";"Economics and Econometrics (Q1); Law (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
196;20002;"Economic Inquiry";journal;"00952583, 14657295";1,159;Q1;85;62;284;2850;663;281;2,32;45,97;30,71;4;26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2023";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
197;20142;"Review of Income and Wealth";journal;"00346586, 14754991";1,159;Q1;69;71;138;3806;386;137;2,84;53,61;30,12;16;50;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1951-1953, 1955, 1957-1959, 1961-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
198;21100869398;"Work, Aging and Retirement";journal;"20544650";1,159;Q1;35;29;89;2125;335;79;3,13;73,28;58,54;1;8;United States;Northern America;"Oxford University Press";"2015-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Social Sciences"
199;21100218004;"Journal of Institutional Economics";journal;"17441374, 17441382";1,157;Q1;37;36;176;2347;508;176;2,63;65,19;33,85;0;15;United Kingdom;Western Europe;"Cambridge University Press";"2005-2009, 2011-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
200;19800188032;"MIS Quarterly Executive";journal;"15401979, 15401960";1,152;Q1;54;0;63;0;259;50;1,89;0,00;0,00;0;0;United States;Northern America;"Association for Information Systems";"2010-2022";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
201;19700201635;"China Agricultural Economic Review";journal;"1756137X, 17561388";1,151;Q1;39;49;130;2615;760;126;4,93;53,37;34,75;0;36;United Kingdom;Western Europe;"Emarald Group Publishing Ltd";"2008-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
202;17500155110;"Foundations and Trends in Entrepreneurship";journal;"15513114, 15513122";1,148;Q1;38;4;19;1030;82;19;2,77;257,50;11,11;2;3;United States;Northern America;"Now Publishers Inc";"2005-2023";"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
203;16230;"Global Finance Journal";journal;"10440283";1,148;Q1;46;108;195;6642;1256;191;6,80;61,50;33,58;1;54;Netherlands;Western Europe;"Elsevier B.V.";"1989-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
204;4100151536;"Research in Transportation Economics";journal;"07398859";1,147;Q1;64;83;305;4236;1447;293;5,43;51,04;31,90;8;64;United States;Northern America;"Emerald Publishing";"1994, 1996, 1999, 2001, 2004-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Transportation (Q2)";"Economics, Econometrics and Finance; Social Sciences"
205;21100827923;"Eurasian Business Review";journal;"13094297, 21474281";1,142;Q1;31;35;82;2780;430;82;5,70;79,43;39,78;1;18;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2023";"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
206;15465;"Pacific Basin Finance Journal";journal;"0927538X";1,137;Q1;75;265;506;14797;2869;504;5,46;55,84;37,41;1;93;Netherlands;Western Europe;"Elsevier B.V.";"1993-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
207;19900192165;"Financial Review";journal;"15406288, 07328516";1,127;Q1;53;43;99;2338;240;98;2,33;54,37;13,86;0;11;United States;Northern America;"Wiley-Blackwell";"1969-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
208;29806;"International Journal of Accounting Information Systems";journal;"14670895";1,127;Q1;65;27;59;1997;405;58;5,95;73,96;24,69;0;5;United States;Northern America;"Elsevier Inc.";"2000-2023";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
209;19875;"Journal of Common Market Studies";journal;"14685965, 00219886";1,127;Q1;106;139;317;7602;1180;306;4,00;54,69;40,49;24;47;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2023";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
210;20320;"Journal of Policy Modeling";journal;"01618938";1,125;Q1;69;78;234;2886;1036;231;4,09;37,00;27,71;5;53;Netherlands;Western Europe;"Elsevier B.V.";"1979-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
211;18111;"Insurance: Mathematics and Economics";journal;"01676687";1,113;Q1;86;64;321;2737;720;318;2,08;42,77;29,49;1;7;Netherlands;Western Europe;"Elsevier B.V.";"1982-2023";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
212;17528;"Journal of Financial Markets";journal;"13864181";1,101;Q1;70;60;127;3176;311;127;2,31;52,93;19,74;3;13;Netherlands;Western Europe;"Elsevier B.V.";"1998-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
213;14122;"Economic Development and Cultural Change";journal;"00130079, 15392988";1,100;Q1;83;38;128;2091;276;119;2,08;55,03;46,00;10;16;United States;Northern America;"University of Chicago";"1978-1979, 1982-2023";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
214;20500195043;"Research in Transportation Business and Management";journal;"22105395";1,100;Q1;52;133;321;8467;1597;311;4,71;63,66;32,12;1;84;Netherlands;Western Europe;"Elsevier B.V.";"2011-2023";"Business and International Management (Q1); Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
215;22707;"International Review of Economics and Finance";journal;"10590560";1,093;Q1;78;336;699;19688;3879;698;5,70;58,60;34,99;6;164;United States;Northern America;"Elsevier Inc.";"1992-2024";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
216;5700161512;"Journal of Consumer Culture";journal;"14695405, 17412900";1,089;Q1;65;49;136;3032;496;134;3,49;61,88;46,25;2;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2023";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Social Psychology (Q1); Sociology and Political Science (Q1); Marketing (Q2)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Psychology; Social Sciences"
217;13217;"European Journal of Health Economics";journal;"16187598, 14396637";1,080;Q1;67;162;337;7361;1355;307;3,32;45,44;43,63;8;70;Germany;Western Europe;"Springer Verlag";"2002-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Health Policy (Q1)";"Economics, Econometrics and Finance; Medicine"
218;28148;"Eurasian Geography and Economics";journal;"15387216";1,065;Q1;55;59;118;4664;522;116;2,54;79,05;32,74;1;40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002-2023";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
219;19400157006;"Judgment and Decision Making";journal;"19302975";1,062;Q1;73;32;193;1591;517;190;2,04;49,72;28,00;0;3;United States;Northern America;"Society for Judgment and Decision making";"2008-2023";"Decision Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1); Applied Psychology (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Psychology"
220;27614;"Resources and Energy Economics";journal;"09287655";1,060;Q1;82;35;129;1687;416;128;2,85;48,20;25,61;2;25;Netherlands;Western Europe;"Elsevier B.V.";"1993-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
221;19692;"Economics of Education Review";journal;"02727757";1,059;Q1;103;110;241;5475;621;241;2,21;49,77;36,90;21;79;United Kingdom;Western Europe;"Elsevier Ltd";"1981-1982, 1984-2023";"Economics and Econometrics (Q1); Education (Q1)";"Economics, Econometrics and Finance; Social Sciences"
222;28524;"European Review of Economic History";journal;"13614916, 14740044";1,058;Q1;41;23;95;1391;150;91;1,50;60,48;35,00;0;6;United Kingdom;Western Europe;"Oxford University Press";"1999, 2001-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1)";"Arts and Humanities; Economics, Econometrics and Finance"
223;24381;"Econometric Reviews";journal;"07474938, 15324168";1,051;Q1;65;36;143;1494;163;142;1,09;41,50;26,44;0;3;United States;Northern America;"Taylor and Francis Ltd.";"1982-1987, 1989-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
224;21100437107;"Borsa Istanbul Review";journal;"22148450, 22148469";1,040;Q1;42;113;203;7508;1438;203;7,12;66,44;27,47;1;49;Turkey;Middle East;"Borsa Istanbul Anonim Sirketi";"2013-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
225;19990;"International Journal of Industrial Organization";journal;"01677187";1,036;Q1;93;74;185;3163;315;184;1,56;42,74;21,79;10;14;United States;Northern America;"Elsevier Inc.";"1983-2023";"Aerospace Engineering (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Engineering"
226;27851;"Marine Policy";journal;"0308597X";1,036;Q1;123;454;1353;30030;5980;1350;4,23;66,15;42,09;23;378;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2023";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
227;23930;"Conflict Management and Peace Science";journal;"07388942, 15499219";1,031;Q2;51;53;104;3411;284;102;2,57;64,36;29,17;0;20;United States;Northern America;"SAGE Publications Inc.";"1973, 1975-1986, 1988-1996, 1998-2023";"Political Science and International Relations (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Social Sciences"
228;21100913561;"Swiss Journal of Economics and Statistics";journal;"22356282";1,030;Q2;17;12;57;485;167;57;1,57;40,42;17,39;1;8;United Kingdom;Western Europe;"SpringerOpen";"2007-2023";"Statistics and Probability (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Mathematics"
229;21101020142;"International Journal of Wellbeing";journal;"11798602";1,026;Q1;13;19;76;1690;284;73;2,83;88,95;46,43;0;1;New Zealand;Pacific Region;"International Journal of Wellbeing Charitable Trust";"2019-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Social Psychology (Q1); Applied Psychology (Q2)";"Economics, Econometrics and Finance; Psychology"
230;21100242611;"International Journal of Gender and Entrepreneurship";journal;"17566274, 17566266";1,020;Q2;45;23;65;1994;341;60;4,49;86,70;77,27;0;22;United Kingdom;Western Europe;"Emarald Group Publishing Ltd";"2009-2023";"Business and International Management (Q1); Gender Studies (Q1); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
231;21100406328;"Review of Keynesian Economics";journal;"20495331, 20495323";1,012;Q2;23;28;83;1310;198;80;2,10;46,79;12,20;2;12;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2012-2023";"Economics and Econometrics (Q2)";"Economics, Econometrics and Finance"
232;21100373814;"BRQ Business Research Quarterly";journal;"23409444, 23409436";1,008;Q2;41;39;91;3386;403;89;4,33;86,82;34,55;1;19;Netherlands;Western Europe;"Elsevier B.V.";"2014-2023";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q1); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
233;21100870602;"Journal of Sustainable Finance and Investment";journal;"20430809, 20430795";1,007;Q1;35;89;175;5415;1085;167;5,46;60,84;33,16;10;56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
234;21100210920;"Journal of Electronic Commerce Research";journal;"19389027, 15266133";1,004;Q1;44;18;56;1526;288;56;2,88;84,78;41,82;0;3;United States;Northern America;"California State University, Long Beach";"2011-2023";"Computer Science Applications (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)";"Computer Science; Economics, Econometrics and Finance"
235;10600153365;"Economics of Innovation and New Technology";journal;"14768364, 10438599";0,998;Q1;66;95;118;6739;554;116;5,19;70,94;33,05;10;61;United Kingdom;Western Europe;"Routledge";"1990-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
236;19900193252;"Journal of the American Taxation Association";journal;"15588017, 01989073";0,998;Q1;31;13;37;812;86;36;1,58;62,46;40,63;0;6;United States;Northern America;"American Accounting Association";"2003, 2007, 2009-2023";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
