Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
22;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";7,194;Q1;207;114;189;10166;3995;173;14,09;89,18;34,36;1;16;United States;Northern America;"Springer New York";"1973-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
23;7500153126;"Journal of the European Economic Association";journal;"15424774, 15424766";6,658;Q1;119;35;233;2078;1081;233;4,46;59,37;17,05;15;17;United States;Northern America;"Wiley-Blackwell";"2003-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
24;29857;"Journal of Accounting Research";journal;"1475679X, 00218456";6,625;Q1;169;46;116;3101;767;116;5,71;67,41;25,62;0;17;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
25;17555;"Journal of Monetary Economics";journal;"03043932";6,564;Q1;149;87;329;3460;1536;327;4,19;39,77;19,79;22;50;Netherlands;Western Europe;"Elsevier B.V.";"1975-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
26;19900191884;"American Economic Journal: Economic Policy";journal;"19457731, 1945774X";6,519;Q1;88;55;173;3495;1053;173;5,66;63,55;25,36;21;26;United States;Northern America;"American Economic Association";"2009-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
27;21100926577;"Review of Asset Pricing Studies";journal;"20459920, 20459939";6,315;Q1;29;15;75;866;715;74;2,74;57,73;12,12;0;1;United States;Northern America;"Oxford University Press";"2011-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
28;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";6,084;Q1;131;41;123;2045;548;122;3,88;49,88;29,67;25;21;United States;Northern America;"University of Chicago";"1985-1989, 1991, 1993, 1995-2023";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
29;22961;"Journal of Marketing Research";journal;"00222437, 15477193";5,984;Q1;202;77;191;5278;1433;187;6,11;68,55;38,33;2;10;United States;Northern America;"American Marketing Association";"1968, 1995-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
30;100147318;"Entrepreneurship Theory and Practice";journal;"10422587, 15406520";5,819;Q1;198;91;160;10508;2631;145;15,69;115,47;38,26;16;27;United States;Northern America;"Wiley-Blackwell";"2004-2023";"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
31;23714;"Marketing Science";journal;"07322399, 1526548X";5,643;Q1;153;60;176;2494;1047;170;5,34;41,57;27,69;4;10;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
