Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
17;21101041823;"Strategy Science";journal;"23332077, 23332050";3,292;Q1;26;34;70;3080;289;67;3,64;90,59;33,87;0;10;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2016-2023";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
18;12396;"Journal of Strategic Information Systems";journal;"09638687";3,230;Q1;107;24;68;1885;758;54;8,43;78,54;42,55;0;1;Netherlands;Western Europe;"Elsevier B.V.";"1991-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
19;22900;"Research Policy";journal;"00487333";3,219;Q1;289;176;489;15486;4862;483;9,18;87,99;28,36;20;93;Netherlands;Western Europe;"Elsevier B.V.";"1971-2024";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
20;24724;"Annals of Probability";journal;"00911798";3,203;Q1;99;60;233;2403;606;233;2,19;40,05;15,04;0;2;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
21;19165;"International Journal of Production Economics";journal;"09255273";3,074;Q1;231;298;902;20739;12655;889;12,00;69,59;28,47;0;132;Netherlands;Western Europe;"Elsevier B.V.";"1991-2024";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Engineering"
22;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";3,070;Q1;170;48;132;3917;1016;124;5,82;81,60;23,70;0;6;United States;Northern America;"M.E. Sharpe Inc.";"1987-2023";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
23;20037;"International Journal of Management Reviews";journal;"14608545, 14682370";3,049;Q1;136;46;74;7666;1016;70;13,63;166,65;47,22;1;8;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2002, 2004-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
24;21100332429;"Annual Review of Statistics and Its Application";journal;"23268298, 2326831X";3,045;Q1;44;29;61;3050;628;61;9,22;105,17;24,00;1;3;United States;Northern America;"Annual Reviews Inc.";"2014-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
25;22405;"Production and Operations Management";journal;"10591478, 19375956";3,035;Q1;138;223;655;12692;3883;650;5,37;56,91;24,44;4;42;United States;Northern America;"Wiley-Blackwell";"1992-2023";"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
26;19169;"Journal of Operations Management";journal;"18731317, 02726963";3,009;Q1;219;62;122;5143;960;111;6,49;82,95;22,41;3;12;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2023";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
