Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
131;15495;"Finance and Stochastics";journal;"14321122, 09492984";0,922;Q1;52;29;82;961;130;80;1,37;33,14;22,03;0;1;Germany;Western Europe;"Springer Verlag";"2004-2023";"Finance (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
132;21101065044;"Sustainable Futures";journal;"26661888";0,920;Q2;16;41;92;2583;576;92;4,13;63,00;38,02;1;33;United Kingdom;Western Europe;"Elsevier B.V.";"2019-2023";"Sociology and Political Science (Q1); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
133;21100886529;"International Journal of Systems Science: Operations and Logistics";journal;"23302674, 23302682";0,919;Q1;30;121;82;6638;485;82;6,02;54,86;25,00;1;42;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
134;21101082054;"Journal of Safety Science and Resilience";journal;"26664496, 20967527";0,895;Q1;15;39;80;2037;463;76;4,46;52,23;41,54;0;17;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Statistics, Probability and Uncertainty (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
135;14072;"Scandinavian Journal of Statistics";journal;"14679469, 03036898";0,892;Q2;70;95;172;3513;214;170;1,21;36,98;32,09;0;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
136;20606;"Journal of Forecasting";journal;"02776693, 1099131X";0,885;Q2;68;118;257;5869;953;257;3,01;49,74;20,68;2;31;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1982-2023";"Modeling and Simulation (Q1); Computer Science Applications (Q2); Economics and Econometrics (Q2); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
137;21100246506;"Journal of Choice Modelling";journal;"17555345";0,876;Q2;37;39;97;1831;267;96;2,93;46,95;22,41;1;10;Netherlands;Western Europe;"Elsevier B.V.";"2008-2023";"Modeling and Simulation (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
138;10900153330;"Enterprise Information Systems";journal;"17517583, 17517575";0,875;Q1;58;65;229;4566;1251;216;5,36;70,25;30,04;1;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2023";"Information Systems and Management (Q1); Computer Science Applications (Q2)";"Computer Science; Decision Sciences"
139;12140;"Journal of Time Series Analysis";journal;"01439782, 14679892";0,875;Q2;61;49;134;1980;168;123;1,23;40,41;24,49;0;3;United States;Northern America;"Wiley-Blackwell";"1980-2023";"Applied Mathematics (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
140;21100377744;"International Journal of Lean Six Sigma";journal;"20404166, 20404174";0,873;Q2;52;83;160;6599;1017;156;5,39;79,51;31,11;0;34;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2023";"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering"
141;21100945714;"Methods, Data, Analyses";journal;"21904936, 18646956";0,873;Q2;8;12;25;639;52;25;1,90;53,25;25,81;0;0;Germany;Western Europe;"GESIS - Leibniz Institute for the Social Sciences";"2019-2023";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Applied Psychology (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics; Psychology"
142;21101017158;"International Journal of Innovation Studies";journal;"20962487, 25892975";0,870;Q1;19;26;46;1964;299;45;4,72;75,54;32,81;0;22;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2017-2023";"Information Systems and Management (Q1); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
143;21100356018;"Big Data Research";journal;"22145796";0,869;Q1;38;24;146;1104;748;143;4,98;46,00;30,23;0;3;United States;Northern America;"Elsevier Inc.";"2014-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Computer Science Applications (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
144;23966;"Journal of Optimization Theory and Applications";journal;"00223239, 15732878";0,864;Q2;101;201;539;7174;1105;529;1,88;35,69;23,46;0;8;United States;Northern America;"Springer New York";"1967-2023";"Applied Mathematics (Q1); Control and Optimization (Q1); Management Science and Operations Research (Q2)";"Decision Sciences; Mathematics"
145;21100780696;"Big Data";journal;"21676461, 2167647X";0,858;Q1;41;43;145;1666;670;139;4,05;38,74;28,10;0;10;United States;Northern America;"Mary Ann Liebert Inc.";"2013-2023";"Information Systems and Management (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Decision Sciences"
146;21100446510;"Journal of Humanitarian Logistics and Supply Chain Management";journal;"20426747, 20426755";0,856;Q2;35;34;80;2528;355;79;4,25;74,35;32,63;0;22;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2023";"Management Information Systems (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
147;21101081506;"Journal of Financial Data Science";journal;"26403951, 26403943";0,854;Q2;13;35;106;980;267;103;2,17;28,00;8,99;0;2;United Kingdom;Western Europe;"With intelligence";"2019-2023";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance"
148;21100897526;"Journal of Causal Inference";journal;"21933685, 21933677";0,849;Q2;13;28;55;1344;87;54;1,74;48,00;22,86;0;3;Germany;Western Europe;"Walter de Gruyter GmbH";"2018-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
149;21100790518;"International Journal of Management Science and Engineering Management";journal;"17509653, 17509661";0,844;Q2;32;41;79;1807;381;76;4,98;44,07;31,40;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2023";"Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering"
150;20608;"Journal of Global Information Management";journal;"10627375, 15337995";0,838;Q2;46;107;200;7370;1080;200;5,65;68,88;36,81;0;39;United States;Northern America;"IGI Publishing";"2002-2023";"Business and International Management (Q1); Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
151;23947;"Journal of Multivariate Analysis";journal;"0047259X, 10957243";0,837;Q2;89;87;336;3280;547;334;1,61;37,70;25,91;0;6;United States;Northern America;"Academic Press Inc.";"1971-2024";"Numerical Analysis (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
152;19900192221;"Journal of Management Control";journal;"2191477X, 21914761";0,827;Q2;28;16;59;1358;243;50;2,61;84,88;42,86;0;4;Germany;Western Europe;"Physica-Verlag";"2011-2023";"Management Information Systems (Q1); Accounting (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
153;21100996100;"International Journal of Population Data Science";journal;"23994908";0,809;Q2;16;55;159;1461;274;156;1,44;26,56;55,20;1;20;United Kingdom;Western Europe;"Swansea University";"2017-2023";"Demography (Q1); Health Informatics (Q2); Information Systems (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Medicine; Social Sciences"
154;21100379294;"Operations Research Perspectives";journal;"22147160";0,809;Q2;31;32;97;1360;453;97;4,37;42,50;26,04;0;7;Netherlands;Western Europe;"Elsevier B.V.";"2014-2023";"Control and Optimization (Q1); Management Science and Operations Research (Q2); Statistics and Probability (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
155;21100200829;"International Journal of Engineering Business Management";journal;"18479790";0,801;Q2;35;24;93;1386;489;93;4,88;57,75;28,92;0;10;Croatia;Eastern Europe;"SAGE Publications Inc.";"2009-2023";"Management Science and Operations Research (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Decision Sciences"
156;21101039666;"Operational Research in Engineering Sciences: Theory and Applications";journal;"26201747, 26201607";0,801;Q2;25;37;80;1755;387;80;4,51;47,43;24,00;0;13;Serbia;Eastern Europe;"Regional Association for Security and crisis management";"2018-2023";"Engineering (miscellaneous) (Q1); Management Science and Operations Research (Q2)";"Decision Sciences; Engineering"
157;14715;"Technology Analysis and Strategic Management";journal;"14653990, 09537325";0,801;Q2;84;305;451;14715;2064;448;3,97;48,25;40,61;4;183;United Kingdom;Western Europe;"Routledge";"1989-2023";"Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
158;24306;"Digital Signal Processing: A Review Journal";journal;"10954333, 10512004";0,799;Q2;90;360;941;15750;3286;935;3,54;43,75;27,60;0;11;United States;Northern America;"Elsevier Inc.";"1991-2023";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
159;19294;"Journal of Scheduling";journal;"10946136";0,793;Q2;67;49;130;1447;306;125;1,99;29,53;18,40;0;2;United States;Northern America;"Springer New York";"1998-2023";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering"
160;21100235632;"Asian Journal of Shipping and Logistics";journal;"20925212";0,775;Q2;35;21;86;920;370;86;3,98;43,81;37,50;0;10;Netherlands;Western Europe;"Korean Association of Shipping and Logistics, Inc.";"2009-2023";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
161;13530;"Journal of the Royal Statistical Society. Series A: Statistics in Society";journal;"09641998, 1467985X";0,775;Q2;94;53;334;1366;515;306;1,20;25,77;28,26;1;25;United Kingdom;Western Europe;"Oxford University Press";"1988-2023";"Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
162;14882;"Test";journal;"11330686, 18638260";0,773;Q2;49;84;154;2892;226;138;1,20;34,43;30,27;0;3;United States;Northern America;"Springer New York";"1988, 1992-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
163;17600155106;"Flexible Services and Manufacturing Journal";journal;"19366590, 19366582";0,766;Q2;53;78;103;3893;333;98;3,35;49,91;21,76;0;20;United States;Northern America;"Springer New York";"2006, 2008-2023";"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q2)";"Decision Sciences; Engineering"
164;19124;"Queueing Systems";journal;"15729443, 02570130";0,762;Q2;58;36;227;1082;187;110;0,65;30,06;23,29;0;1;Netherlands;Western Europe;"Springer Netherlands";"1986-2023";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
165;21100255423;"R Journal";journal;"20734859";0,758;Q2;60;50;236;1775;500;233;2,14;35,50;24,31;0;2;United States;Northern America;"R Foundation for Statistical Computing";"2009-2023";"Numerical Analysis (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
166;21216;"MIT Sloan Management Review";journal;"15329194";0,757;Q2;118;51;203;317;400;190;1,91;6,22;30,91;0;2;United States;Northern America;"Massachusetts Institute of Technology";"2001-2023";"Business and International Management (Q2); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
167;88345;"Journal of Global Optimization";journal;"09255001, 15732916";0,743;Q2;96;149;374;5860;765;367;2,02;39,33;24,53;0;2;Netherlands;Western Europe;"Springer Netherlands";"1991-2023";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
168;21101126970;"Logistics";journal;"23056290";0,740;Q2;23;100;207;6593;1066;205;4,97;65,93;31,94;0;55;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
169;13533;"Journal of the Royal Statistical Society. Series C: Applied Statistics";journal;"00359254, 14679876";0,739;Q2;80;82;208;3152;333;208;1,10;38,44;33,19;0;20;United Kingdom;Western Europe;"Oxford University Press";"1981, 1983-1991, 1993, 1996-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
170;12136;"Journal of Statistical Planning and Inference";journal;"03783758";0,736;Q2;86;56;303;1817;349;303;1,05;32,45;26,56;0;2;Netherlands;Western Europe;"Elsevier B.V.";"1977-2024";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
171;21100834347;"Journal of Marketing Analytics";journal;"20503318, 20503326";0,735;Q2;21;92;96;6487;473;84;3,96;70,51;34,56;2;2;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
172;21100889419;"Annals of Actuarial Science";journal;"17484995, 17485002";0,730;Q2;18;24;78;932;117;74;1,57;38,83;22,73;0;6;United Kingdom;Western Europe;"Cambridge University Press";"2011, 2015-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
173;23148;"IMA Journal of Management Mathematics";journal;"1471678X, 14716798";0,730;Q2;40;16;76;866;184;74;1,91;54,13;27,50;0;3;United Kingdom;Western Europe;"Oxford University Press";"1986, 1988-1989, 1991-1993, 1995-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
174;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";0,728;Q2;52;104;170;7582;823;164;5,00;72,90;40,07;3;27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2023";"Library and Information Sciences (Q1); Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
175;8600153118;"Mathematics and Financial Economics";journal;"18629679";0,727;Q2;29;26;81;908;134;80;1,69;34,92;33,33;0;8;Germany;Western Europe;"Springer Verlag";"2007-2023";"Finance (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
176;19600161828;"Public Transport";journal;"16137159, 1866749X";0,722;Q2;36;34;83;1770;259;81;3,00;52,06;17,20;0;25;Germany;Western Europe;"Springer Verlag";"2009-2023";"Mechanical Engineering (Q1); Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
177;19713;"Journal of High Technology Management Research";journal;"10478310";0,715;Q2;55;29;36;1316;187;35;5,95;45,38;25,37;0;10;United Kingdom;Western Europe;"Elsevier B.V.";"1990-2023";"Computer Science Applications (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
178;27989;"Optimization";journal;"10294945, 02331934";0,699;Q2;59;250;442;8632;880;428;1,98;34,53;27,60;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2023";"Applied Mathematics (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2)";"Decision Sciences; Mathematics"
179;20670;"Journal of Organizational Change Management";journal;"09534814";0,698;Q2;83;74;234;5558;920;227;3,87;75,11;49,72;0;20;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1988-2023";"Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
180;19600157009;"North American Actuarial Journal";journal;"10920277";0,692;Q2;51;64;130;2867;202;117;1,41;44,80;26,90;0;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
181;24437;"Data and Knowledge Engineering";journal;"0169023X";0,691;Q2;94;87;133;3843;479;124;3,99;44,17;24,71;0;14;Netherlands;Western Europe;"Elsevier B.V.";"1985, 1987-2023";"Information Systems and Management (Q2)";"Decision Sciences"
182;21101142603;"Social Sciences and Humanities Open";journal;"25902911";0,691;Q2;25;374;351;21297;1412;348;3,79;56,94;48,86;0;192;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)";"Decision Sciences; Psychology; Social Sciences"
183;21100836195;"Econometrics and Statistics";journal;"24523062";0,690;Q2;16;88;180;3820;249;173;1,33;43,41;27,59;2;8;Netherlands;Western Europe;"Elsevier B.V.";"2017-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
184;19123;"Quality and Reliability Engineering International";journal;"07488017, 10991638";0,690;Q2;72;209;599;8231;1684;587;2,64;39,38;31,41;0;22;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1985-2023";"Management Science and Operations Research (Q2); Safety, Risk, Reliability and Quality (Q2)";"Decision Sciences; Engineering"
185;13559;"Journal of Loss Prevention in the Process Industries";journal;"09504230";0,689;Q2;102;224;764;9418;3201;756;4,01;42,04;31,16;0;31;Netherlands;Western Europe;"Elsevier B.V.";"1988-2023";"Food Science (Q1); Chemical Engineering (miscellaneous) (Q2); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Safety, Risk, Reliability and Quality (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Decision Sciences; Energy; Engineering"
186;19900192334;"Journal of Applied Accounting Research";journal;"09675426";0,685;Q2;38;85;130;6755;679;128;5,17;79,47;33,83;0;45;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2002, 2004-2006, 2008-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Information Systems and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
187;21101023806;"Annals of Data Science";journal;"21985812, 21985804";0,682;Q2;27;114;165;4394;541;162;3,11;38,54;24,81;0;24;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2023";"Artificial Intelligence (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
188;7100153133;"Spatial Economic Analysis";journal;"17421780, 17421772";0,682;Q2;39;44;91;2022;201;76;2,15;45,95;24,49;0;23;United Kingdom;Western Europe;"Routledge";"2006-2023";"Earth and Planetary Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Earth and Planetary Sciences; Economics, Econometrics and Finance; Social Sciences"
189;21101098756;"Decision Analytics Journal";journal;"27726622";0,680;Q2;14;207;42;13356;283;41;6,74;64,52;24,10;1;62;United States;Northern America;"Elsevier Inc.";"2021-2023";"Analysis (Q2); Applied Mathematics (Q2); Decision Sciences (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Decision Sciences; Mathematics"
190;21100981415;"Modeling Earth Systems and Environment";journal;"23636203, 23636211";0,677;Q2;55;345;804;18405;2945;803;3,46;53,35;22,28;1;162;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Computers in Earth Sciences (Q2); Environmental Science (miscellaneous) (Q2); Statistics, Probability and Uncertainty (Q2)";"Agricultural and Biological Sciences; Decision Sciences; Earth and Planetary Sciences; Environmental Science"
191;21100198497;"Quality Technology and Quantitative Management";journal;"16843703";0,676;Q2;27;66;112;2650;361;112;3,36;40,15;29,52;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Business and International Management (Q2); Industrial Relations (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
192;13631;"American Statistician";journal;"00031305, 15372731";0,675;Q2;97;71;159;2229;297;135;1,93;31,39;27,75;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1947-2023";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
193;5600155030;"New Directions for Evaluation";journal;"10976736";0,674;Q2;48;28;128;910;182;117;0,77;32,50;66,18;0;7;United States;Northern America;"Wiley-Blackwell";"1995-2023";"Education (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
194;21100901137;"Journal of Statistical Distributions and Applications";journal;"21955832";0,663;Q2;19;0;23;0;87;23;3,69;0,00;0,00;0;0;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2021";"Computer Science Applications (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics"
195;145295;"4OR";journal;"16142411, 16194500";0,661;Q2;46;52;76;1670;173;71;2,00;32,12;21,50;1;3;Germany;Western Europe;"";"2003-2023";"Computational Theory and Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
196;19200156938;"Transforming Government: People, Process and Policy";journal;"17506166";0,661;Q2;47;49;126;2511;538;121;3,74;51,24;29,75;0;37;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2023";"Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Public Administration (Q2)";"Computer Science; Decision Sciences; Social Sciences"
197;14233;"Statistical Papers";journal;"09325026, 16139798";0,659;Q2;46;186;318;6548;483;316;1,56;35,20;33,10;1;13;United States;Northern America;"Springer New York";"1983, 1988-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
198;19318;"Group Decision and Negotiation";journal;"09262644, 15729907";0,656;Q2;69;60;152;3340;509;145;3,61;55,67;27,43;0;7;Netherlands;Western Europe;"Springer Netherlands";"1992-2023";"Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Social Sciences"
199;14500154733;"Operational Research";journal;"11092858, 18661505";0,654;Q2;34;65;392;3387;1188;389;3,07;52,11;26,09;0;18;Germany;Western Europe;"Springer Verlag";"2009-2023";"Computational Theory and Mathematics (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
200;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";0,654;Q2;97;164;246;6673;766;231;2,71;40,69;32,92;2;46;United Kingdom;Western Europe;"Springer London";"1997-2023";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Hardware and Architecture (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Social Sciences"
201;24358;"Journal of Heuristics";journal;"13811231, 15729397";0,650;Q2;73;21;93;848;243;91;1,78;40,38;17,14;0;2;Netherlands;Western Europe;"Springer Netherlands";"1995-2023";"Computer Networks and Communications (Q2); Control and Optimization (Q2); Information Systems (Q2); Management Science and Operations Research (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science; Decision Sciences; Mathematics"
202;21100821132;"Decision";journal;"23259973, 23259965";0,638;Q2;23;22;76;1277;92;75;0,97;58,05;39,71;0;0;United States;Northern America;"American Psychological Association";"2014-2023";"Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Social Psychology (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Psychology"
203;21100386518;"Advances in Production Engineering And Management";journal;"18556531, 18546250";0,633;Q2;29;36;108;1219;388;108;3,46;33,86;34,69;0;19;Slovenia;Eastern Europe;"Production Engineering Institute (PEI), University of Maribor";"2014-2023";"Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Mechanical Engineering (Q2); Nuclear and High Energy Physics (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering; Physics and Astronomy"
204;11700154400;"TOP";journal;"11345764, 18638279";0,631;Q2;31;32;103;1161;192;91;1,90;36,28;27,66;0;2;Germany;Western Europe;"";"1993-1996, 2003, 2007-2023";"Discrete Mathematics and Combinatorics (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Decision Sciences; Mathematics"
205;21100446929;"European Actuarial Journal";journal;"21909741, 21909733";0,625;Q2;19;40;99;1304;107;77;0,76;32,60;19,28;0;8;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
